Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;Additional Information;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
Airtel Zambia;GWZM3740;GWZM3740 | Lusaka South;AAZM-GWZM3740;GWZM3740;Priority_5;Lusaka South;SRAN;Lusaka South;Ericsson;SBTS-Ericsson;;AAZM-ZM3740;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;SZM3775_MAPOPO;SZM3775_MAPOPO | North Western;AAZM-SZM3775_MAPOPO;SZM3775_MAPOPO;Priority_5;North Western;SRAN;North Western;Nokia;Flexi MultiRadio BTS;;AAZM-ZM3775;RAN;Multi Techno;SingleRAN;SBTS;;Deployed;;
Airtel Zambia;GWZM0180;GWZM0180 | Northern;AAZM-GWZM0180;GWZM0180;Priority_5;Northern;SRAN;Northern;Ericsson;SBTS-Ericsson;;AAZM-ZM0180;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;GWZM6018;GWZM6018 | Northern;AAZM-GWZM6018;GWZM6018;Priority_5;Northern;SRAN;Northern;Ericsson;SBTS-Ericsson;;AAZM-ZM6018;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;LZM6770_T0056_Dambwa_North-MRBTS;LZM6770_T0056_Dambwa_North-MRBTS | Southern;AAZM-LZM6770_T0056_Dambwa_North-MRBTS;LZM6770_T0056_Dambwa_North-MRBTS;Priority_5;Southern;MRBTS;Southern;Nokia;Flexi MultiRadio BTS;;AAZM-ZM6770;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;LZM0836-CHIPATA-SHOPRITE;LZM0836-CHIPATA-SHOPRITE | Eastern;AAZM-LZM0836-CHIPATA-SHOPRITE;LZM0836-CHIPATA-SHOPRITE;Priority_5;Eastern;4G;Eastern;Nokia;eNodeB-Nokia;;AAZM-ZM0836;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Zambia;GWZM0423;GWZM0423 | Lusaka;AAZM-GWZM0423;GWZM0423;Priority_5;Lusaka;SRAN;Lusaka;Ericsson;SBTS-Ericsson;;AAZM-ZM0423;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;LZM3263_KAKOLO_970;LZM3263_KAKOLO_970 | Copperbelt;AAZM-LZM3263_KAKOLO_970;LZM3263_KAKOLO_970;Priority_5;Copperbelt;4G;Copperbelt;Nokia;eNodeB-Nokia;;AAZM-ZM3263;RAN;LTE (4G);eNodeB;;;Deployed;;
Airtel Zambia;WZM3990;WZM3990 | Lusaka North;AAZM-WZM3990;WZM3990;Priority_5;Lusaka North;3G;Lusaka North;Ericsson;NodeB-Ericsson;;AAZM-ZM3990;RAN;WCDMA/UMTS (3G);NodeB;NTCRNC05;;Deployed;;
Airtel Zambia;SZM0683-LISELI;SZM0683-LISELI | Western;AAZM-SZM0683-LISELI;SZM0683-LISELI;Priority_5;Western;SRAN;Western;Nokia;Flexi MultiRadio BTS;;AAZM-ZM0683;RAN;Multi Techno;SingleRAN;SBTS;;Deployed;;
Airtel Zambia;GWZM3751;GWZM3751 | Central;AAZM-GWZM3751;GWZM3751;Priority_5;Central;SRAN;Central;Ericsson;SBTS-Ericsson;;AAZM-ZM3751;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;WZM0091_LKP0080-LUSAKA-WEST_3G_BB;WZM0091_LKP0080-LUSAKA-WEST_3G_BB | Lusaka;AAZM-WZM0091_LKP0080-LUSAKA-WEST_3G_BB;WZM0091_LKP0080-LUSAKA-WEST_3G_BB;Priority_5;Lusaka;SRAN;Lusaka;Ericsson;SBTS-Ericsson;;AAZM-ZM0091;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;LZM0013_CHIPATA-MRBTS;LZM0013_CHIPATA-MRBTS | Eastern;AAZM-LZM0013_CHIPATA-MRBTS;LZM0013_CHIPATA-MRBTS;Priority_5;Eastern;MRBTS;Eastern;Nokia;Flexi MultiRadio BTS;;AAZM-ZM0013;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;GWZM3819;GWZM3819 | Luapula;AAZM-GWZM3819;GWZM3819;Priority_5;Luapula;SRAN;Luapula;Ericsson;SBTS-Ericsson;;AAZM-ZM3819;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;WZM0082;WZM0082 | Lusaka North;AAZM-WZM0082;WZM0082;Priority_5;Lusaka North;3G;Lusaka North;Ericsson;NodeB-Ericsson;;AAZM-ZM0082;RAN;WCDMA/UMTS (3G);NodeB;NTCRNC08;;Deployed;;
Airtel Zambia;SOSVILLAGE1_360;SOSVILLAGE1_360 | Southern;AAZM-SOSVILLAGE1_360;SOSVILLAGE1_360;Priority_5;Southern;2G;Southern;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM3578;RAN;GSM (2G);BTS;BLVSTN01;;Deployed;;
Airtel Zambia;GWZM3885;GWZM3885 | Western;AAZM-GWZM3885;GWZM3885;Priority_5;Western;SRAN;Western;Ericsson;SBTS-Ericsson;;AAZM-ZM3885;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;WZM6104_KAMPONDO;WZM6104_KAMPONDO | Southern;AAZM-WZM6104_KAMPONDO;WZM6104_KAMPONDO;Priority_5;Southern;3G;Southern;Nokia;Flexi MultiRadio BTS - 3G;;AAZM-ZM6104;RAN;WCDMA/UMTS (3G);NodeB;WTCRN13;;Deployed;;
Airtel Zambia;KATONGO1_540;KATONGO1_540 | Western;AAZM-KATONGO1_540;KATONGO1_540;Priority_5;Western;2G;Western;Nokia;Flexi MultiRadio BTS - 2G;;AAZM-ZM6885;RAN;GSM (2G);BTS;BMONGU01;;Deployed;;
Airtel Zambia;GLZM6664;GLZM6664 | Central;AAZM-GLZM6664;GLZM6664;Priority_5;Central;SRAN;Central;Ericsson;SBTS-Ericsson;;AAZM-ZM6664;RAN;Multi Techno;SingleRAN;;;Deployed;;
Airtel Zambia;WZM6128;WZM6128 | Lusaka South;AAZM-WZM6128;WZM6128;Priority_5;Lusaka South;3G;Lusaka South;Ericsson;NodeB-Ericsson;;AAZM-ZM6128;RAN;WCDMA/UMTS (3G);NodeB;WTCRNC09;;Deployed;;
Airtel Zambia;WZM0704;WZM0704 | Lusaka North;AAZM-WZM0704;WZM0704;Priority_5;Lusaka North;3G;Lusaka North;Ericsson;NodeB-Ericsson;;AAZM-ZM0704;RAN;WCDMA/UMTS (3G);NodeB;WTCRNC06;;Deployed;;
Airtel Zambia;LZM3297_KANTANSHI;LZM3297_KANTANSHI | Copperbelt;AAZM-LZM3297_KANTANSHI;LZM3297_KANTANSHI;Priority_5;Copperbelt;4G;Copperbelt;Nokia;eNodeB-Nokia;;AAZM-ZM3297;RAN;LTE (4G);eNodeB;;;Deployed;;
