Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;PrimAlias;Additional Site Details;Status
Vodacom TZ;VTZ-5520; 5520.0;Itewe;Southern;Southern;;Tanzania;Southern;-8.89718;33.60902;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5520;Itewe;Itewe;Southern;Southern;;Tanzania;Southern;-8.89718;33.60902;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5520;VTZ-5520;Itewe;Southern;Southern;;Tanzania;Southern;-8.89718;33.60902;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5522; 5522.0;Kipapa;Southern;Southern;;Tanzania;Southern;-11.0032;34.72852;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5522;Kipapa;Kipapa;Southern;Southern;;Tanzania;Southern;-11.0032;34.72852;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5522;VTZ-5522;Kipapa;Southern;Southern;;Tanzania;Southern;-11.0032;34.72852;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5533; 5533.0;Mansense_Hill;Southern;Southern;;Tanzania;Southern;-9.13881;33.28852;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5533;Mansense_Hill;Mansense_Hill;Southern;Southern;;Tanzania;Southern;-9.13881;33.28852;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5533;VTZ-5533;Mansense_Hill;Southern;Southern;;Tanzania;Southern;-9.13881;33.28852;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5540; 5540.0;Shilongo_Hill;Southern;Southern;;Tanzania;Southern;-9.19121;33.3499;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5540;Shilongo_Hill;Shilongo_Hill;Southern;Southern;;Tanzania;Southern;-9.19121;33.3499;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5540;VTZ-5540;Shilongo_Hill;Southern;Southern;;Tanzania;Southern;-9.19121;33.3499;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5547; 5547.0;Kihesa_Njombe;Southern;Southern;;Tanzania;Southern;-9.34111;34.77604;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5547;Kihesa_Njombe;Kihesa_Njombe;Southern;Southern;;Tanzania;Southern;-9.34111;34.77604;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5547;VTZ-5547;Kihesa_Njombe;Southern;Southern;;Tanzania;Southern;-9.34111;34.77604;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5550; 5550.0;Ipililo_Katavi;Southern;Southern;;Tanzania;Southern;-6.52133;31.0491;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5550;Ipililo_Katavi;Ipililo_Katavi;Southern;Southern;;Tanzania;Southern;-6.52133;31.0491;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5550;VTZ-5550;Ipililo_Katavi;Southern;Southern;;Tanzania;Southern;-6.52133;31.0491;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5553; 5553.0;Magome;Southern;Southern;;Tanzania;Southern;-8.07307;35.97379;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5553;Magome;Magome;Southern;Southern;;Tanzania;Southern;-8.07307;35.97379;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5553;VTZ-5553;Magome;Southern;Southern;;Tanzania;Southern;-8.07307;35.97379;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5557; 5557.0;Mkombozi2;Southern;Southern;;Tanzania;Southern;-9.28813;32.7606;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5557;Mkombozi2;Mkombozi2;Southern;Southern;;Tanzania;Southern;-9.28813;32.7606;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5557;VTZ-5557;Mkombozi2;Southern;Southern;;Tanzania;Southern;-9.28813;32.7606;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5646; 5646.0;Gumbiro_HTT;Southern;Southern;;Tanzania;Southern;-10.2453;35.665;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5646;Gumbiro_HTT;Gumbiro_HTT;Southern;Southern;;Tanzania;Southern;-10.2453;35.665;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5646;VTZ-5646;Gumbiro_HTT;Southern;Southern;;Tanzania;Southern;-10.2453;35.665;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5672; 5672.0;Kitai_HTT;Southern;Southern;;Tanzania;Southern;-10.7292;35.1919;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5672;Kitai_HTT;Kitai_HTT;Southern;Southern;;Tanzania;Southern;-10.7292;35.1919;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5672;VTZ-5672;Kitai_HTT;Southern;Southern;;Tanzania;Southern;-10.7292;35.1919;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5815; 5815.0;Amani Magazini UCSAF;Southern;Southern;;Tanzania;Southern;-11.419578;36.420631;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5815;Amani Magazini UCSAF;Amani Magazini UCSAF;Southern;Southern;;Tanzania;Southern;-11.419578;36.420631;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5815;VTZ-5815;Amani Magazini UCSAF;Southern;Southern;;Tanzania;Southern;-11.419578;36.420631;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-5946; 5946.0;Shisyete;Southern;Southern;;Tanzania;Southern;-9.2945513;33.3976181;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5946;Shisyete;Shisyete;Southern;Southern;;Tanzania;Southern;-9.2945513;33.3976181;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-5946;VTZ-5946;Shisyete;Southern;Southern;;Tanzania;Southern;-9.2945513;33.3976181;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-6232; 6232.0;Kampemba_Airtel;Southern;Southern;;Tanzania;Southern;-6.11689;30.965;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-6232;Kampemba_Airtel;Kampemba_Airtel;Southern;Southern;;Tanzania;Southern;-6.11689;30.965;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-6232;VTZ-6232;Kampemba_Airtel;Southern;Southern;;Tanzania;Southern;-6.11689;30.965;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-6358; 6358.0;MaloloIringa_Airtel;Southern;Southern;;Tanzania;Southern;-7.322619;36.548243;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-6358;MaloloIringa_Airtel;MaloloIringa_Airtel;Southern;Southern;;Tanzania;Southern;-7.322619;36.548243;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-6358;VTZ-6358;MaloloIringa_Airtel;Southern;Southern;;Tanzania;Southern;-7.322619;36.548243;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-6379; 6379.0;Igomambeya_Airtel;Southern;Southern;;Tanzania;Southern;-8.99805;33.6637;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-6379;Igomambeya_Airtel;Igomambeya_Airtel;Southern;Southern;;Tanzania;Southern;-8.99805;33.6637;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-6379;VTZ-6379;Igomambeya_Airtel;Southern;Southern;;Tanzania;Southern;-8.99805;33.6637;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-6441; 6441.0;Kiwanja_Chunya;Southern;Southern;;Tanzania;Southern;-8.5549;33.4694;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-6441;Kiwanja_Chunya;Kiwanja_Chunya;Southern;Southern;;Tanzania;Southern;-8.5549;33.4694;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-6441;VTZ-6441;Kiwanja_Chunya;Southern;Southern;;Tanzania;Southern;-8.5549;33.4694;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-Arusha DC;Arusha DC;Kili;Kili;Kili;;Tanzania;Kili;;;;;;1;;Enabled
Vodacom TZ;VTZ-Arusha DC;VTZ-Arusha DC;Kili;Kili;Kili;;Tanzania;Kili;;;;;;0;;Enabled
Vodacom TZ;VTZ-Kwale DC;Kwale DC;Dar;Dar;Dar;;Tanzania;Dar;;;;;;1;;Enabled
Vodacom TZ;VTZ-Kwale DC;VTZ-Kwale DC;Dar;Dar;Dar;;Tanzania;Dar;;;;;;0;;Enabled
Vodacom TZ;VTZ-Mwanza DC;Mwanza DC;Lake;Lake;Lake;;Tanzania;Lake;;;;;;1;;Enabled
Vodacom TZ;VTZ-Mwanza DC;VTZ-Mwanza DC;Lake;Lake;Lake;;Tanzania;Lake;;;;;;0;;Enabled
Vodacom TZ;VTZ-1695; 1695.0;Mbagala_Kuu;Coastal;Coastal;;Tanzania;Southern;-6.90669;39.2863;;SubAccessHub_10;;1;;Enabled
Vodacom TZ;VTZ-1695;Mbagala_Kuu;Mbagala_Kuu;Coastal;Coastal;;Tanzania;Southern;-6.90669;39.2863;;SubAccessHub_10;;1;;Enabled
Vodacom TZ;VTZ-1695;VTZ-1695;Mbagala_Kuu;Coastal;Coastal;;Tanzania;Southern;-6.90669;39.2863;;SubAccessHub_10;;0;;Enabled
Vodacom TZ;VTZ-1703; 1703.0;Maweni;Coastal;Coastal;;Tanzania;Dar;-6.833;39.3427;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1703;Maweni;Maweni;Coastal;Coastal;;Tanzania;Dar;-6.833;39.3427;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1703;VTZ-1703;Maweni;Coastal;Coastal;;Tanzania;Dar;-6.833;39.3427;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1713; 1713.0;Ubungo_Kisiwani_HTT;Coastal;Coastal;;Tanzania;Coastal;-6.79819;39.2109;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1713;Ubungo_Kisiwani_HTT;Ubungo_Kisiwani_HTT;Coastal;Coastal;;Tanzania;Coastal;-6.79819;39.2109;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1713;VTZ-1713;Ubungo_Kisiwani_HTT;Coastal;Coastal;;Tanzania;Coastal;-6.79819;39.2109;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1714; 1714.0;Ubungo_Kibango;Coastal;Coastal;;Tanzania;Southern;-6.79744;39.1955;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1714;Ubungo_Kibango;Ubungo_Kibango;Coastal;Coastal;;Tanzania;Southern;-6.79744;39.1955;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1714;VTZ-1714;Ubungo_Kibango;Coastal;Coastal;;Tanzania;Southern;-6.79744;39.1955;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1716; 1716.0;Mabibo_Jeshini;Coastal;Coastal;;Tanzania;Dar;-6.82162;39.2071;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1716;Mabibo_Jeshini;Mabibo_Jeshini;Coastal;Coastal;;Tanzania;Dar;-6.82162;39.2071;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1716;VTZ-1716;Mabibo_Jeshini;Coastal;Coastal;;Tanzania;Dar;-6.82162;39.2071;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1721; 1721.0;Kwa_Yusufu;Coastal;Coastal;;Tanzania;Lake;-6.78796;39.0993;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1721;Kwa_Yusufu;Kwa_Yusufu;Coastal;Coastal;;Tanzania;Lake;-6.78796;39.0993;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1721;VTZ-1721;Kwa_Yusufu;Coastal;Coastal;;Tanzania;Lake;-6.78796;39.0993;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1727; 1727.0;Tasaf_HQ_HTT;Coastal;Coastal;;Tanzania;Dar;-6.82632;39.28412;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1727;Tasaf_HQ_HTT;Tasaf_HQ_HTT;Coastal;Coastal;;Tanzania;Dar;-6.82632;39.28412;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1727;VTZ-1727;Tasaf_HQ_HTT;Coastal;Coastal;;Tanzania;Dar;-6.82632;39.28412;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1729; 1729.0;Mariam_Towers_HTT;Coastal;Coastal;;Tanzania;Southern;-6.82717;39.26985;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1729;Mariam_Towers_HTT;Mariam_Towers_HTT;Coastal;Coastal;;Tanzania;Southern;-6.82717;39.26985;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1729;VTZ-1729;Mariam_Towers_HTT;Coastal;Coastal;;Tanzania;Southern;-6.82717;39.26985;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1731; 1731.0;Kawa_Desuce_HTT;Coastal;Coastal;;Tanzania;Lake;-6.84645;39.27552;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1731;Kawa_Desuce_HTT;Kawa_Desuce_HTT;Coastal;Coastal;;Tanzania;Lake;-6.84645;39.27552;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1731;VTZ-1731;Kawa_Desuce_HTT;Coastal;Coastal;;Tanzania;Lake;-6.84645;39.27552;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1739; 1739.0;Kivule_Makore_HTT;Coastal;Coastal;;Tanzania;Dar;-6.93036;39.19274;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1739;Kivule_Makore_HTT;Kivule_Makore_HTT;Coastal;Coastal;;Tanzania;Dar;-6.93036;39.19274;;FlexMultradio;;1;;Enabled
Vodacom TZ;VTZ-1739;VTZ-1739;Kivule_Makore_HTT;Coastal;Coastal;;Tanzania;Dar;-6.93036;39.19274;;FlexMultradio;;0;;Enabled
Vodacom TZ;VTZ-1742; 1742.0;Kwa_Mama_Tembo_HTT;Coastal;Coastal;;Tanzania;Lake;-6.91808;39.25805;;FlexMultradio;;1;;Enabled
