Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;PrimAlias;Additional Site Details;Status
Airtel Zambia;AAZM-ZM6122;CHUNGA_FARMS;CHUNGA_FARMS;Northern;Northern;;Zambia;Northern;-9.822511;32.48488;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6122;ZM6122;CHUNGA_FARMS;Northern;Northern;;Zambia;Northern;-9.822511;32.48488;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6123;AAZM-ZM6123;KATENSHYA_MIS_2;Northern;Northern;;Zambia;Northern;-10.079391;32.573637;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6123;KATENSHYA_MIS_2;KATENSHYA_MIS_2;Northern;Northern;;Zambia;Northern;-10.079391;32.573637;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6123;ZM6123;KATENSHYA_MIS_2;Northern;Northern;;Zambia;Northern;-10.079391;32.573637;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6125;AAZM-ZM6125;KAOMBWE;Northern;Northern;;Zambia;Northern;-9.478;32.8829166;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6125;KAOMBWE;KAOMBWE;Northern;Northern;;Zambia;Northern;-9.478;32.8829166;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6125;ZM6125;KAOMBWE;Northern;Northern;;Zambia;Northern;-9.478;32.8829166;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6127;AAZM-ZM6127;MUSANZA;Northern;Northern;;Zambia;Northern;-9.288111;32.557232;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6127;MUSANZA;MUSANZA;Northern;Northern;;Zambia;Northern;-9.288111;32.557232;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6127;ZM6127;MUSANZA;Northern;Northern;;Zambia;Northern;-9.288111;32.557232;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6128;LSK_WEST_APPOLO;LSK_WEST_APPOLO;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.32289284;28.11007625;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6128;WZM6128A;LSK_WEST_APPOLO;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.32289284;28.11007625;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6128;WZM6128B;LSK_WEST_APPOLO;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.32289284;28.11007625;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6128;WZM6128C;LSK_WEST_APPOLO;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.32289284;28.11007625;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6128;ZM6128;LSK_WEST_APPOLO;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.32289284;28.11007625;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6133;KASONGOLE_MUSE;KASONGOLE_MUSE;Northern;Northern;;Zambia;Northern;-8.9783055;29.38289;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6133;ZM6133;KASONGOLE_MUSE;Northern;Northern;;Zambia;Northern;-8.9783055;29.38289;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6134;NKOSHYA;NKOSHYA;Luapula;Luapula;;Zambia;Luapula;-9.13333;29.21667;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6134;ZM6134;NKOSHYA;Luapula;Luapula;;Zambia;Luapula;-9.13333;29.21667;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6135;AAZM-ZM6135;NEW_KASESHA;Northern;Northern;;Zambia;Northern;-11.190833;30.766972;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM0151;3233_DUNDU;DUNDU;Southern;Southern;;Zambia;Southern;-16.162827;28.084818;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM3347;WZM3370A;SHOPRITE;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.41853;28.28232;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM3347;WZM3370C;SHOPRITE;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.41853;28.28232;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM3347;ZM3347;SHOPRITE;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.41853;28.28232;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM3349;ZM3349;MUKOBEKO;Central;Central;;Zambia;Central;-14.387972;28.394722;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM3356;ZM3356;TWALUBUKA;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.63854;28.06498;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0152;ZM0152;T3025D_BUCHI;Copperbelt;Copperbelt;;Zambia;Copperbelt;-12.7938;28.215;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0154;ZM0154;MAAMBA;Southern;Southern;;Zambia;Southern;-17.34191;27.228474;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0153;Robert Makasa;Robert Makasa;Northern;Northern;;Zambia;Northern;-10.606606;32.222761;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM0155;DMMU;DMMU;Lusaka;Lusaka;;Zambia;Lusaka;-15.41281883;28.30350121;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6128;AAZM-ZM6128;LSK_WEST_APPOLO;Lusaka South;Lusaka South;;Zambia;Lusaka South;-15.32289284;28.11007625;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6133;AAZM-ZM6133;KASONGOLE_MUSE;Northern;Northern;;Zambia;Northern;-8.9783055;29.38289;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6134;AAZM-ZM6134;NKOSHYA;Luapula;Luapula;;Zambia;Luapula;-9.13333;29.21667;;Outdoor;;0;;Enabled
Airtel Zambia;AAZM-ZM6135;NEW_KASESHA;NEW_KASESHA;Northern;Northern;;Zambia;Northern;-11.190833;30.766972;;Outdoor;;1;;Enabled
Airtel Zambia;AAZM-ZM6135;ZM6135;NEW_KASESHA;Northern;Northern;;Zambia;Northern;-11.190833;30.766972;;Outdoor;;1;;Enabled
