Company;CI Name;Site;Region;Site Group;CI Description;DNS Host Name;System Role;Product Name;Tier 1;Tier 2;Tier 3;Manufacturer;Model Version;Additional Information;Tag Number;CI ID;NbrCells;Domain;Status;Reconciliation Identity;Priority
Vodacom TZ;Badi_HTT_U900-3G;VTZ-4803;Lake;Lake;Badi_HTT_U900-3G | Lake;Badi_HTT_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW3;;3;VTZ-Badi_HTT_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;IgogoIndust-3G;VTZ-4431;Lake;Lake;IgogoIndust-3G | Lake;IgogoIndust-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW2;;9;VTZ-IgogoIndust-3G;Deployed;;PRIORITY_5
Vodacom TZ;Kijumbura_U900-3G;VTZ-4246;Lake;Lake;Kijumbura_U900-3G | Lake;Kijumbura_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW3;;3;VTZ-Kijumbura_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;Lusewa_HTT_U900-3G;VTZ-6279;Southern;Southern;Lusewa_HTT_U900-3G | Southern;Lusewa_HTT_U900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNMW3;;3;VTZ-Lusewa_HTT_U900-3G;Deployed;;PRIORITY_5
Vodacom TZ;Kibada_6S_1425-3G;VTZ-764;Coastal;Coastal;Kibada_6S_1425-3G | Coastal;Kibada_6S_1425-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDA6;;9;VTZ-Kibada_6S_1425-3G;Deployed;;PRIORITY_5
Vodacom TZ;Glekurum 900-3G;VTZ-3049;Kili;Kili;Glekurum 900-3G | Kili;Glekurum 900-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNAR2;;9;VTZ-Glekurum 900-3G;Deployed;;PRIORITY_5
Vodacom TZ;TUANGOMA HTT - TUANGOMA;VTZ-Kwale DC;Dar;Dar;TUANGOMA HTT - TUANGOMA | MW | VTZ-Kwale DC;TUANGOMA HTT - TUANGOMA;Transmission;Eclipse;Transmission;WTD/Microwave;Microwave;Aviat;;;;;;VTZ-TUANGOMA HTT - TUANGOMA;Deployed;;PRIORITY_5
Vodacom TZ;LTE_Salasala;VTZ-1303;Coastal;Coastal;LTE_Salasala | LTE_TDD | VTZ-1303;LTE_Salasala;LTE_TDD;eNodeB-Huawei;RAN;LTE (4G);eNodeB;Huawei;;Huawei LTE_TDD;;;;VTZ-LTE_Salasala;Deployed;;PRIORITY_5
Vodacom TZ;LTE_Nyegezi_Hill;VTZ-4019;Lake;Lake;LTE_Nyegezi_Hill | LTE_TDD | VTZ-4019;LTE_Nyegezi_Hill;LTE_TDD;eNodeB-Huawei;RAN;LTE (4G);eNodeB;Huawei;;Huawei LTE_TDD;;;;VTZ-LTE_Nyegezi_Hill;Deployed;;PRIORITY_5
Vodacom TZ;LTE_Welezo;VTZ-1316;Coastal;Coastal;LTE_Welezo | LTE_TDD | VTZ-1316;LTE_Welezo;LTE_TDD;eNodeB-Huawei;RAN;LTE (4G);eNodeB;Huawei;;Huawei LTE_TDD;;;;VTZ-LTE_Welezo;Deployed;;PRIORITY_5
Vodacom TZ;LTE_Sikukuu;VTZ-1089;Coastal;Coastal;LTE_Sikukuu | LTE_TDD | VTZ-1089;LTE_Sikukuu;LTE_TDD;eNodeB-Huawei;RAN;LTE (4G);eNodeB;Huawei;;Huawei LTE_TDD;;;;VTZ-LTE_Sikukuu;Deployed;;PRIORITY_5
Vodacom TZ;LTE_Rose_Garden;VTZ-1049;Coastal;Coastal;LTE_Rose_Garden | LTE_TDD | VTZ-1049;LTE_Rose_Garden;LTE_TDD;eNodeB-Huawei;RAN;LTE (4G);eNodeB;Huawei;;Huawei LTE_TDD;;;;VTZ-LTE_Rose_Garden;Deployed;;PRIORITY_5
Vodacom TZ;LTE_Mbezi_Beach;VTZ-1106;Coastal;Coastal;LTE_Mbezi_Beach | LTE_TDD | VTZ-1106;LTE_Mbezi_Beach;LTE_TDD;eNodeB-Huawei;RAN;LTE (4G);eNodeB;Huawei;;Huawei LTE_TDD;;;;VTZ-LTE_Mbezi_Beach;Deployed;;PRIORITY_5
Vodacom TZ;Kwa_Yusufu_HTT-3G;VTZ-1721;Coastal;Coastal;Kwa_Yusufu_HTT-3G | Coastal;Kwa_Yusufu_HTT-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDA1;;9;VTZ-Kwa_Yusufu_HTT-3G;Deployed;;PRIORITY_5
Vodacom TZ;Bweri_L700-4G;VTZ-4332;Lake;Lake;Bweri_L700-4G | Lake;Bweri_L700-4G;4G;eNodeB-Nokia;RAN;LTE (4G);eNodeB;Nokia;;;;;3;VTZ-Bweri_L700-4G;Deployed;;PRIORITY_5
Vodacom TZ;Uhindini_Iringa-3G;VTZ-6386;Southern;Southern;Uhindini_Iringa-3G | Southern;Uhindini_Iringa-3G;3G;NodeB-Nokia;RAN;WCDMA/UMTS (3G);NodeB;Nokia;;;RNDO3;;9;VTZ-Uhindini_Iringa-3G;Deployed;;PRIORITY_5
Vodacom TZ;Murangi_HTT-2G;VTZ-4112;Lake;Lake;Murangi_HTT-2G | Lake;Murangi_HTT-2G;2G;BTS-Nokia;RAN;GSM (2G);BTS;Nokia;;;BSBT1;;3;VTZ-Murangi_HTT-2G;Deployed;;PRIORITY_5
