Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
Capita TfL GB;PCN-J016-J-EBLO-HRN-003M;PCN-J016-J-EBLO-HRN-003M | Sector 19 | East Tunnel;TFLGB-PCN-J016-J-EBLO-HRN-003M;PCN-J016-J-EBLO-HRN-003M;Priority_5;London;HRN;London Bridge;SOLiD;SOLiD HRN;East Tunnel;TFLGB-J016;RAN;Multi Techno;Repeater, Transcoder;Sector 19;;Deployed;;
Capita TfL GB;PCN-J014-J-WBLO-HRN-001M;PCN-J014-J-WBLO-HRN-001M | Sector 22 | West Tunnel;TFLGB-PCN-J014-J-WBLO-HRN-001M;PCN-J014-J-WBLO-HRN-001M;Priority_5;London;HRN;Bermondsey;SOLiD;SOLiD HRN;West Tunnel;TFLGB-J014;RAN;Multi Techno;Repeater, Transcoder;Sector 22;;Deployed;;
Capita TfL GB;PCN-D101-HCU-ZDC8-M;PCN-D101-HCU-ZDC8-M | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-HCU-ZDC8-M;PCN-D101-HCU-ZDC8-M;Priority_5;London;HCU;Westminster;SOLiD;SOLiD HCU;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-D101-LRN-18S;PCN-D101-LRN-18S | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-LRN-18S;PCN-D101-LRN-18S;Priority_5;London;LRN;Westminster;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-J007-LRN-44M;PCN-J007-LRN-44M | Sector 28 | Ticket Hall_Escalator;TFLGB-PCN-J007-LRN-44M;PCN-J007-LRN-44M;Priority_5;London;LRN;Canary Wharf;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-J007;RAN;Multi Techno;Repeater, Transcoder;Sector 28;;Deployed;;
Capita TfL GB;PCN-D101-LRN-4M;PCN-D101-LRN-4M | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-LRN-4M;PCN-D101-LRN-4M;Priority_5;London;LRN;Westminster;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-J007-LRN-39S;PCN-J007-LRN-39S | Sector 28 | Ticket Hall_Escalator;TFLGB-PCN-J007-LRN-39S;PCN-J007-LRN-39S;Priority_5;London;LRN;Canary Wharf;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-J007;RAN;Multi Techno;Repeater, Transcoder;Sector 28;;Deployed;;
Capita TfL GB;PCN-J007-LRN-44S;PCN-J007-LRN-44S | Sector 28 | Ticket Hall_Escalator;TFLGB-PCN-J007-LRN-44S;PCN-J007-LRN-44S;Priority_5;London;LRN;Canary Wharf;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-J007;RAN;Multi Techno;Repeater, Transcoder;Sector 28;;Deployed;;
Capita TfL GB;PCN-D101-HCU-SBDC1-M;PCN-D101-HCU-SBDC1-M | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-HCU-SBDC1-M;PCN-D101-HCU-SBDC1-M;Priority_5;London;HCU;Westminster;SOLiD;SOLiD HCU;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-J012-J-EBLO-HRN-001M;PCN-J012-J-EBLO-HRN-001M | Sector 25 | East Tunnel;TFLGB-PCN-J012-J-EBLO-HRN-001M;PCN-J012-J-EBLO-HRN-001M;Priority_5;London;HRN;Canada Water;SOLiD;SOLiD HRN;East Tunnel;TFLGB-J012;RAN;Multi Techno;Repeater, Transcoder;Sector 25;;Deployed;;
