Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;Additional Information;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
EMTS NG;B3308-B3325;B3308-B3325 | Ibadan;.;B3308-B3325;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-3308;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3468-B3352;B3468-B3352 | Ilorin;.;B3468-B3352;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-3468;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4772-B4729;B4772-B4729 | Ilorin;.;B4772-B4729;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9400 AWY;;EMT-4772;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5630-B5615;B5630-B5615 | Ibadan;.;B5630-B5615;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-5630;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5610-B3401;B5610-B3401 | Ilorin;.;B5610-B3401;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-5610;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4220-B4210;B4220-B4210 | Benin;.;B4220-B4210;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4220;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4221-B4319;B4221-B4319 | Benin;.;B4221-B4319;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4221;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3916-B3901;B3916-B3901 | Ilorin;.;B3916-B3901;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-3916;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3661-B3669;B3661-B3669 | Ilorin;.;B3661-B3669;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9400 AWY;;EMT-3661;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4320-B4210;B4320-B4210 | Benin;.;B4320-B4210;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4320;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4322-B4320;B4322-B4320 | Benin;.;B4322-B4320;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4322;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5666-B4566;B5666-B4566 | Benin;.;B5666-B4566;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-5666;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4707-B4702;B4707-B4702 | Ilorin;.;B4707-B4702;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-4707;Transmission;WTD/Microwave;Microwave;;;Deployed;;
