Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;Additional Site Details;Status
EMTS NG;EMT-2786;EMT-2786;TBD;Lokoja;Lokoja;E.C.W.A. Church Compound, Chikara Lageta, Koton Karfi, Kogi L.G.A., Kogi State.;Nigeria;KOTON KARFE;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-3930;EMT-3930;Restricted accessibility: Mo-Sat 8-17h;Ilorin;Ilorin;5. Omodara Street. Textile. Ado Ekiti;Nigeria;Ilorin;7.633919;5.211275;;;;;Enabled
EMTS NG;EMT-3936;EMT-3936;Restricted accessibility: Mo-Sat 8-17h;Ilorin;Ilorin;Townhall. Ijan Ekiti. Ekiti State;Nigeria;Ilorin;7.622338;5.390199;;;;;Enabled
EMTS NG;EMT-3939;EMT-3939;Restricted accessibility: Mo-Sat 8-17h;Ilorin;Ilorin;Agbado-Ekiti. Ekiti State;Nigeria;Ilorin;7.58776;5.52416;;;;;Enabled
EMTS NG;EMT-3953;EMT-3953;Accessible 24/7;Ilorin;Ilorin;Aboloyinjo Close. off Akinyede off LG Rd, Odo-Ado Ekiti;Nigeria;Ilorin;7.60816;5.23964;;;;;Enabled
EMTS NG;EMT-3968;EMT-3968;Accessible 24/7;Ibadan;Ibadan;Opp. Task Filling Station Ota-Idiroko Rd. Atan. Ogun State;Nigeria;Ibadan;6.663116;3.096333;;;;;Enabled
EMTS NG;EMT-3989;EMT-3989;Accessible 24/7;Ibadan;Ibadan;10. MOSES FAMUYIWA ST. OMOLEYE ESTATE. AGOSI AREA. IFO. OGUN STATE.;Nigeria;Ibadan;6.82438;3.19775;;;;;Enabled
EMTS NG;EMT-4011;EMT-4011;Accessible 24/7;Ibadan;Ibadan;Orile Ilewo Junction. Ikereku Idanoff Abeokuta- Ilaro Express Road. Abeokuta. Ogun State. ;Nigeria;Ibadan;7.12352;3.19868;;;;;Enabled
EMTS NG;EMT-4012;EMT-4012;Accessible 24/7;Ibadan;Ibadan;Shode Street. off Apostolic Church. Shagamu. Ogun State;Nigeria;Ibadan;6.83854;3.65316;;;;;Enabled
EMTS NG;EMT-4044;EMT-4044;Accessible 24/7;Ibadan;Ibadan;KM 44. Lagos-Ibadan Express Way inside Redemption Camp. Ogun State;Nigeria;Ibadan;6.79635;3.4503;;;;;Enabled
EMTS NG;EMT-4047;EMT-4047;Restricted accessibility: Mo-Sat 8-17h;Ibadan;Ibadan;Off MKO Abiola Way. Opposite Sam Ewang Estate. Olorunbo. Abeokuta. Ogun State.;Nigeria;Ibadan;7.1363;3.36608;;;;;Enabled
EMTS NG;EMT-4080;EMT-4080;Restricted accessibility: Mo-Sat 8-17h;Ibadan;Ibadan;Behind Okun Owa Maternity Centre. Okun Owa. Ogun state;Nigeria;Ibadan;6.85886;3.80081;;;;;Enabled
